		 Inclusion Criteria 					 Exclusion Criteria 							
 CT # 	 NCT_ID 	 Staging/State 	 Histology 	 Biomarker 1 	 Biomarker 2 	 Biomarker 3 	 Histology 1 	 Histology 2 	 Histology 3 	 Histology 4 	 Biomarker 1 	 Biomarker 2 	 Biomarker 3 	
1	NCT04505826	"Advanced, Metastatic"	Breast Cancer	HER2 Negative	HR Positive									
														
2	NCT03847519	Metastatic 	Non-Squamous Non-Small Cell Lung Cancer											
		Metastatic 	Squamous Non-Small Cell Lung Cancer											
		Metastatic 	Non-Squamous Non-Small Cell Lung Cancer	PD-L1 High							ALK Fusion	EGFR Activating Mutation		
		Metastatic 	Squamous Non-Small Cell Lung Cancer	PD-L1 High							ALK Fusion	EGFR Activating Mutation		
														
3	NCT04266249	"Stage II, IIIA"	breast carcinoma	HER2 Positive										
														
4	NCT05336409	relapsed or refractory	B-cell Non-Hodgkin's Lymphoma	CD19 Positive										
														
5	NCT03669718	recurrent or metastatic	Oropharyngeal Cancer	HPV16 Positive	PD-L1 Positive									
														
6	NCT04420884	advanced or metastatic	Solid Tumor											
		metastatic or recurrent	squamous cell carcinoma of head and neck				nasopharyngeal cancer	salivary gland tumors						
		metastatic or recurrent	squamous cell carcinoma of head and neck	PD-L1 Positive			nasopharyngeal cancer	salivary gland tumors						
		recurrent locally advanced or metastatic	CRC	MSI-H										
		recurrent locally advanced or metastatic	CRC	dMMR										
		recurrent locally advanced or metastatic	CRC	MSS										
		recurrent locally advanced or metastatic	CRC	pMMR										
														
7	NCT01190930		B-ALLÊ(B-cell acute lymphoblastic leukemia )											
		Murphy stages I or II	B-LLy (B Cell Lymphoblastic Lymphoma)				T-lymphoblastic lymphoma	Morphologically unclassifiable lymphoma	Absence of both B-cell and T-cell phenotype markers in a case submitted as lymphoblastic lymphoma					
														
8	NCT02867592	"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Ewing sarcoma											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Rhabdomyosarcoma (RMS)											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Non-rhabdomyosarcoma soft tissue sarcomas (STS)Ê											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	alveolar soft part sarcoma											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	clear cell sarcoma											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Osteosarcoma											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Wilms tumor											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Medullary thyroid carcinoma (MTC)											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Renal cell carcinoma (RCC)											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Hepatocellular carcinoma (HCC)											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Hepatoblastoma											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Adrenocortical carcinoma											
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	MET High										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	MET activating mutation										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	MET Fusion										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	MET exon 14 del										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	RET Mutation										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	RET Fusion										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	RET High										
		"recurrent or refractory disease, or newly diagnosed disease with no known curative therapyÊ"	Solid Tumor	AXL High										
														
9	NCT04647526	Metastatic Castration-Resistant 	Prostate Cancer				sarcomatoid	spindle cell	neuroendocrine	Any small cell component				
														
10	NCT05443126	Advanced	Solid Tumor	RET Alterations							Any other major mutation than RET			
		Advanced	Solid Tumor	RET Fusion							Any other major mutation than RET			
														
11	NCT03833167	high-risk locally advanced	cutaneous squamous cell carcinoma											
														
12	NCT04267848	"stage IIA, IIB IIIA or IIIB"	non-squamous non-small cell lung cancer								ALK Fusion	EGFR exon 19 deletion	EGFR L858R	
		"stage IIA, IIB IIIA or IIIB"	non-small cell lung cancer											
														
13	NCT04198766	Locally Advanced or Metastatic	squamous NSCLC				Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	melanoma				Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	HNSCC				Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Gastric/Gastroesophageal Cancer				Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Renal cell carcinoma (RCC)				Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Transitional Cell Cancer				Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	non-squamous NSCLC				Hematologic malignancies	CNS Tumor			EGFR activating Mutation	ALK Fusion		
		Locally Advanced or Metastatic	melanoma	PD-L1 High			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	HNSCC	PD-L1 High			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Gastric/Gastroesophageal Cancer	PD-L1 High			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Renal cell carcinoma (RCC)	PD-L1 High			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Transitional Cell Cancer	PD-L1 High			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Solid Tumor	MSI-high	PD-L1 High		Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Solid Tumor	TMB-high			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	Solid Tumor	MMR-deficient	PD-L1 High		Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	uveal melanoma	PD-L1 High			Hematologic malignancies	CNS Tumor						
		Locally Advanced or Metastatic	non-squamous NSCLC	PD-L1 High			Hematologic malignancies	CNS Tumor			EGFR activating Mutation	ALK Fusion		
		Locally Advanced or Metastatic	Squamous NSCLC	PD-L1 High			Hematologic malignancies	CNS Tumor						
														
14	NCT04389632	relapsed or refractory	Non-small cell lung cancer (NSCLC)											
		relapsed or refractory	Head and neck squamous cell cancer (HNSCC)											
		(relapsed or refractory) and advanced	breast cancer	HER2 Negative										
		relapsed or refractory	Esophageal squamous cell carcinoma (ESCC)											
		relapsed or refractory	Esophageal/Gastro-esophageal junction adenocarcinoma (EAC/GEJ)											
		relapsed or refractory	Cutaneous squamous cell cancer (cSCC)											
		relapsed or refractory	Exocrine pancreatic adenocarcinoma											
		relapsed or refractory	Bladder cancer											
		relapsed or refractory	Cervical cancer											
		relapsed or refractory	Gastric cancer											
		relapsed or refractory	High grade serous ovarian cancer (HGSOC)											
														
														
15	NCT04624204	Stage I-III	Small Cell Lung Cancer (SCLC)				myelodysplastic syndrome (MDS)	acute myeloid leukemia						
														
16	NCT03486067	relapsed and refractory	Multiple Myeloma											
														
17	NCT04586231	"Unresectable, locally advanced or metastatic"	Renal Cell Carcinoma											
														
18	NCT04504916	metastatic	Breast Cancer	Triple-negative			Malignancy involving CNS							
		metastatic	Breast cancer	HER2-negative			Malignancy involving CNS		Triple-negative					
		metastatic	non-squamous non-small-cell lung cancer (NSCLC)				Malignancy involving CNS							
		metastatic	gastric cancer				Malignancy involving CNS							
		metastatic	pancreatic cancer				Malignancy involving CNS							
		metastatic	ovarian cancer				Malignancy involving CNS							
														
19	NCT05388669	Advanced or Metastatic	non-small cell lung cancer (NSCLC)	EGFR Exon 19 deletion (Exon 19del)										
		Advanced or Metastatic	non-small cell lung cancer (NSCLC)	EGFR Exon 21 L858R										
														
